Batch_ID,Rows,Target_Rows,Has_Fault,Fault_Reference_Min,Fault_Reference_Max,Fault_Reference_Nonzero_Rows,Fault_Flag_Min,Fault_Flag_Max,Fault_Flag_Nonzero_Rows,Regime,Data_Split
29,1450,1450,0,0,0,0,0.0,195340.0,1440,Recipe_Normal,Validation
30,1150,1150,0,0,0,0,0.0,107470.0,1140,Recipe_Normal,Train
31,1250,1250,0,0,0,0,0.0,184810.0,1240,Operator_Normal,Train
32,1150,1150,0,0,0,0,0.0,176830.0,1140,Operator_Normal,Train
33,1300,1300,0,0,0,0,0.0,138990.0,1290,Operator_Normal,Train
34,1150,1150,0,0,0,0,0.0,131600.0,1140,Operator_Normal,Normal_Test
35,980,980,0,0,0,0,0.0,156050.0,970,Operator_Normal,Train
36,1150,1150,0,0,0,0,0.0,126780.0,1140,Operator_Normal,Train
37,1050,1050,0,0,0,0,0.0,139410.0,1040,Operator_Normal,Train
38,1150,1150,0,0,0,0,0.0,155520.0,1140,Operator_Normal,Train
39,1175,1175,0,0,0,0,0.0,166230.0,1165,Operator_Normal,Train
40,1150,1150,0,0,0,0,0.0,139670.0,1140,Operator_Normal,Validation
41,1215,1215,0,0,0,0,0.0,161190.0,1205,Operator_Normal,Train
42,1150,1150,0,0,0,0,0.0,108660.0,1140,Operator_Normal,Train
43,1155,1155,0,0,0,0,0.0,120330.0,1145,Operator_Normal,Validation
44,1150,1150,0,0,0,0,0.0,119070.0,1140,Operator_Normal,Train
45,1310,1310,0,0,0,0,0.0,87911.0,1300,Operator_Normal,Normal_Test
46,1150,1150,0,0,0,0,0.0,172660.0,1140,Operator_Normal,Normal_Test
47,1140,1140,0,0,0,0,0.0,144390.0,1130,Operator_Normal,Normal_Test
48,1150,1150,0,0,0,0,0.0,190010.0,1140,Operator_Normal,Train
49,1160,1160,0,0,0,0,0.0,137240.0,1150,Operator_Normal,Train
50,1150,1150,0,0,0,0,0.0,166940.0,1140,Operator_Normal,Train
51,1125,1125,0,0,0,0,0.0,99227.0,1115,Operator_Normal,Train
52,1150,1150,0,0,0,0,0.0,148630.0,1140,Operator_Normal,Validation
53,965,965,0,0,0,0,0.0,165800.0,955,Operator_Normal,Train
54,1150,1150,0,0,0,0,0.0,144810.0,1140,Operator_Normal,Train
55,1120,1120,0,0,0,0,0.0,156910.0,1110,Operator_Normal,Train
56,1150,1150,0,0,0,0,0.0,167400.0,1140,Operator_Normal,Validation
57,1170,1170,0,0,0,0,0.0,177550.0,1160,Operator_Normal,Train
58,1150,1150,0,0,0,0,0.0,168660.0,1140,Operator_Normal,Validation
59,1020,1020,0,0,0,0,0.0,130460.0,1010,Operator_Normal,Train
60,1150,1150,0,0,0,0,0.0,141990.0,1140,Operator_Normal,Normal_Test
61,1205,1205,0,0,0,0,0.0,152320.0,1195,APC_Normal,Train
62,1150,1150,0,0,0,0,0.0,176120.0,1140,APC_Normal,Train
63,1150,1150,0,0,0,0,0.0,159290.0,1140,APC_Normal,Train
64,1150,1150,0,0,0,0,0.0,169270.0,1140,APC_Normal,Train
65,1155,1155,0,0,0,0,0.0,175970.0,1145,APC_Normal,Train
66,1150,1150,0,0,0,0,0.0,149080.0,1140,APC_Normal,Normal_Test
67,835,835,0,0,0,0,0.0,123830.0,825,APC_Normal,Train
68,1150,1150,0,0,0,0,0.0,163950.0,1140,APC_Normal,Validation
69,1125,1125,0,0,0,0,0.0,152090.0,1115,APC_Normal,Normal_Test
70,1150,1150,0,0,0,0,0.0,155320.0,1140,APC_Normal,Validation
71,1070,1070,0,0,0,0,0.0,180160.0,1060,APC_Normal,Normal_Test
72,1150,1150,0,0,0,0,0.0,171270.0,1140,APC_Normal,Train
73,1180,1180,0,0,0,0,0.0,149290.0,1170,APC_Normal,Validation
74,1150,1150,0,0,0,0,0.0,180230.0,1140,APC_Normal,Train
75,960,960,0,0,0,0,0.0,146290.0,950,APC_Normal,Train
76,1150,1150,0,0,0,0,0.0,168170.0,1140,APC_Normal,Train
77,1025,1025,0,0,0,0,0.0,157740.0,1015,APC_Normal,Normal_Test
78,1150,1150,0,0,0,0,0.0,156310.0,1140,APC_Normal,Validation
79,1175,1175,0,0,0,0,0.0,172970.0,1165,APC_Normal,Train
80,1150,1150,0,0,0,0,0.0,167150.0,1140,APC_Normal,Train
81,1100,1100,0,0,0,0,0.0,180580.0,1090,APC_Normal,Train
82,1150,1150,0,0,0,0,0.0,165240.0,1140,APC_Normal,Validation
83,1205,1205,0,0,0,0,0.0,151780.0,1195,APC_Normal,Normal_Test
84,1150,1150,0,0,0,0,0.0,158770.0,1140,APC_Normal,Train
85,1000,1000,0,0,0,0,0.0,173890.0,990,APC_Normal,Train
86,1150,1150,0,0,0,0,0.0,169460.0,1140,APC_Normal,Train
87,1110,1110,0,0,0,0,0.0,172200.0,1100,APC_Normal,Train
88,1150,1150,0,0,0,0,0.0,156790.0,1140,APC_Normal,Train
89,1155,1155,0,0,0,0,0.0,139780.0,1145,APC_Normal,Train
90,1150,1150,0,0,0,0,0.0,172470.0,1140,APC_Normal,Train
91,1290,1290,1,0,1,203,0.0,61888.0,1280,Fault,Fault_Test
92,1150,1150,1,0,1,122,0.0,142830.0,1140,Fault,Fault_Test
93,1050,1050,1,0,1,101,0.0,168870.0,1040,Fault,Fault_Test
94,1150,1150,1,0,1,72,0.0,83772.0,1140,Fault,Fault_Test
95,1055,1055,1,0,1,188,0.0,75988.0,1045,Fault,Fault_Test
96,1150,1150,1,0,1,101,0.0,154250.0,1140,Fault,Fault_Test
97,1125,1125,1,0,1,203,0.0,133900.0,1115,Fault,Fault_Test
98,1150,1150,1,0,1,122,0.0,178960.0,1140,Fault,Fault_Test
99,1255,1255,1,0,1,72,0.0,87635.0,1245,Fault,Fault_Test
100,1150,1150,1,0,1,72,0.0,77137.0,1140,Fault,Fault_Test
